Name,Street,District,Region,Status,Working hour,Price range,Rate Average,Review count,Rate Quality,Rate Price,Rate Location,Rate Service,Rate Space,Category
Bún Cay Thái 2 Thuận - Nguyễn Văn Khối (Cây Trâm),"320 Nguyễn Văn Khối (Cây Trâm), P. 9",Quận Gò Vấp,TP. HCM,Đang mở cửa,08:30 - 14:00 | 16:00 - 21:30,20.000đ - 30.000đ,7.4,93,7.8,7.6,7.3,7.3,7.1,Đồ ăn
Quán Cơm Việt Nam - Hồ Đắc Di,"16 Hồ Đắc Di, P. Tây Thạnh",Quận Tân Phú,TP. HCM,Đang mở cửa,06:00 - 20:00,25.000đ - 27.000đ,8.4,1,9.0,9.0,9.0,8.0,7.0,Đồ ăn
Há Cảo - Phá Lấu Bò Marie Curie,"433/44 Lê Đại Hành, P.11",Quận 11,TP. HCM,Đang mở cửa,11:00 - 22:00,5.000đ - 15.000đ,7.4,230,7.8,7.7,7.7,6.9,6.8,Đồ ăn
Tàu Hủ Hồng Lạc - Chung Cư Bàu Cát 2,"002 Lô L Chung Cư Bàu Cát 2, Đường Số 1, P. 10",Quận Tân Bình,TP. HCM,Đang mở cửa,09:00 - 23:00,10.000đ - 30.000đ,8.3,17,8.7,8.4,8.2,8.1,8.1,Đồ ăn
Sandwich - Hamburger Chía Núi - Nguyễn Trãi,"56 Trần Xuân Hòa, P. 7",Quận 5,TP. HCM,Đang mở cửa,09:00 - 21:00,16.000đ - 24.000đ,8.1,103,8.3,8.2,8.2,8.2,7.5,Đồ ăn
Chicago - Cơm Trưa Văn Phòng - Nguyễn Thị Minh Khai,"18A/6 Nguyễn Thị Minh Khai, P. Đa Kao",Quận 1,TP. HCM,Đang mở cửa,07:00 - 22:00,11.000đ - 25.000đ,8.4,25,8.6,8.6,8.6,8.3,8.1,Đồ ăn
Bánh Bò Thốt Nốt COCOCake - Lò Bánh Trần Quang Diệu,"18E Trần Quang Diệu, P. 13",Quận 3,TP. HCM,Đang mở cửa,07:30 - 20:00,17.000đ - 153.000đ,8.0,10,8.3,8.1,8.0,8.0,7.8,Đồ ăn
Hanoi Ngon - Nem Chua Rán Ăn Vặt Chuẩn Hà Nội - Tô Hiến Thành,"243/7 Tô Hiến Thành, P. 13",Quận 10,TP. HCM,,17:00 - 23:00,30.000đ - 59.000đ,7.1,113,7.4,7.3,7.1,7.0,6.9,Đồ ăn
Cháo Sườn Bomni - Tuệ Tĩnh,"81 Tuệ Tĩnh, P. 13",Quận 11,TP. HCM,Đang mở cửa,05:30 - 13:00,20.000đ - 30.000đ,7.9,23,8.0,8.0,8.0,7.9,7.4,Đồ ăn
Hủ Tiếu Mực Ông Diệm - Xuân Thủy,"9C Xuân Thủy, P. Thảo Điền",Tp. Thủ Đức,TP. HCM,Đang mở cửa,06:15 - 22:00,35.000đ - 55.000đ,8.1,25,8.2,8.1,8.1,8.1,8.0,Đồ ăn
Cô Tuyến - Bún Riêu & Bò Kho,"Hẻm 242/5 Tôn Đản, P. 8",Quận 4,TP. HCM,Đang mở cửa,07:00 - 13:00,30.000đ - 35.000đ,8.1,10,8.7,8.2,8.2,7.7,7.7,Đồ ăn
Bích Phong - Ăn Vặt & Gỏi Cuốn,"29/35/16 Hoàng Hoa Thám, P. 6",Quận Bình Thạnh,TP. HCM,Đang mở cửa,10:30 - 23:59,5.000đ - 100.000đ,8.5,3,10.0,9.3,8.3,7.7,7.0,Đồ ăn
Súp Cua Xuân Lan - Cầu Xéo,"38 Cầu Xéo, P. Tân Quý",Quận Tân Phú,TP. HCM,Đang mở cửa,06:00 - 21:30,20.000đ - 60.000đ,7.9,4,8.5,8.3,8.0,7.5,7.0,Đồ ăn
Cơm Gà Xối Mỡ 142 - Ba Đình,"142 Ba Đình, P. 10",Quận 8,TP. HCM,Đang mở cửa,09:00 - 22:00,20.000đ - 55.000đ,6.9,254,7.3,7.1,6.8,6.7,6.5,Đồ ăn
Bún Đậu Xưa - Đường Số 79,"111B Đường Số 79, P. Tân Quy",Quận 7,TP. HCM,Đang mở cửa,08:00 - 14:30 | 16:30 - 22:00,25.000đ - 55.000đ,6.8,29,7.5,7.1,6.7,6.6,6.5,Đồ ăn
Emy - Trái Cây Tươi Và Ăn Vặt - Nguyễn Trãi,"212A/A37 Nguyễn Trãi, P. Nguyễn Cư Trinh",Quận 1,TP. HCM,Đang mở cửa,00:01 - 23:59,19.000đ - 79.000đ,8.0,74,8.3,8.2,8.1,8.1,7.5,Đồ ăn
LALA Salad - Healthy Food Online,"96 Phan Văn Hân, P. 17",Quận Bình Thạnh,TP. HCM,Đang mở cửa,08:00 - 22:00,25.000đ - 200.000đ,8.0,50,8.4,8.2,8.2,7.8,7.5,Đồ ăn
Ăn Vặt Ngọc Nga,108A Trần Quang Quá,Quận Tân Phú,TP. HCM,Đang mở cửa,09:00 - 21:00,5.000đ - 20.000đ,8.3,27,8.5,8.4,8.3,8.3,8.1,Đồ ăn
"3 Râu - Gà Rán, Pizza & Trà Sữa - Phan Đình Phùng","272 Phan Đình Phùng, P. 1",Quận Phú Nhuận,TP. HCM,Đang mở cửa,09:00 - 23:00,12.000đ - 120.000đ,8.0,14,8.3,8.0,7.9,7.9,7.7,Đồ ăn
Bột Chiên & Mì Xào Bò,"294 Trần Văn Đang, P. 10",Quận 3,TP. HCM,Đang mở cửa,11:30 - 22:00,20.000đ - 30.000đ,7.7,10,8.4,7.8,7.8,7.4,7.3,Đồ ăn
Anh Thư - Bánh Bông Lan Trứng Muối & Bánh Mì Phô Mai,"61/31A Nguyễn Thượng Hiền, P. 5",Quận Bình Thạnh,TP. HCM,Đang mở cửa,07:00 - 22:00,30.000đ - 300.000đ,7.9,65,8.4,8.3,8.3,7.7,7.0,Đồ ăn
Bánh Canh Cua Lộc Vừng - Bình Thới,"19/3 Bình Thới, P. 11",Quận 11,TP. HCM,Đang mở cửa,06:00 - 22:30,40.000đ - 203.000đ,6.9,53,7.1,7.0,6.8,6.7,6.7,Đồ ăn
Đá Bào Ngọc Hồ,"C8 Bis Xóm Chiếu, P. 13",Quận 4,TP. HCM,,15:00 - 22:00,15.000đ - 25.000đ,7.7,15,8.1,7.9,7.6,7.5,7.1,Đồ ăn
Bánh Bò Thốt Nốt COCOCake - Lò Bánh Huỳnh Văn Bánh,"65A Huỳnh Văn Bánh, P. 17",Quận Phú Nhuận,TP. HCM,Đang mở cửa,07:30 - 20:00,95.000đ - 150.000đ,8.1,52,8.6,8.6,8.1,7.7,7.4,Đồ ăn
Hebi Poke,"Tầng 1-112E, 100 Hàm Nghi, P. Bến Nghé",Quận 1,TP. HCM,Đang mở cửa,10:00 - 21:00,89.000đ - 109.000đ,7.6,79,7.9,7.7,7.6,7.6,7.3,Đồ ăn
Salad Poki Katuri,"456 Bà Hạt, P. 8",Quận 10,TP. HCM,Đang mở cửa,09:00 - 19:00,25.000đ - 80.000đ,8.2,81,8.7,8.7,8.4,8.0,7.2,Đồ ăn
ATC Kitchen - Kimbap & Mì Trộn,"930B Trường Chinh, P. 15",Quận Tân Bình,TP. HCM,Đang mở cửa,09:00 - 23:59,20.000đ - 50.000đ,7.6,5,8.2,7.8,7.6,7.4,7.0,Đồ ăn
Bánh Bao Chiên Nước - Lương Thế Vinh,"63 Lương Thế Vinh, P. Tân Thới Hoà",Quận Tân Phú,TP. HCM,Đang mở cửa,07:30 - 22:00,7.000đ - 12.000đ,6.7,39,7.1,6.9,6.7,6.7,6.4,Đồ ăn
Bún Thái & Ăn Vặt - Tuệ Tĩnh,"90/16G Tuệ Tĩnh, P. 13",Quận 11,TP. HCM,Đang mở cửa,10:00 - 17:00,40.000đ - 50.000đ,8.7,15,9.3,9.3,8.9,8.7,7.5,Đồ ăn
Cơm Chay Vạn Duyên,"68 Đường Số 27, P. Sơn Kỳ",Quận Tân Phú,TP. HCM,Đang mở cửa,06:30 - 19:30,15.000đ - 15.000đ,7.7,2,8.0,8.0,7.5,7.5,7.5,Đồ ăn
Mì Ý Double B - Trần Hưng Đạo,"Hẻm 391 TK40/24 Trần Hưng Đạo, P. Cầu Kho",Quận 1,TP. HCM,Đang mở cửa,08:00 - 22:00,17.000đ - 75.000đ,7.1,775,7.6,7.2,7.2,6.8,6.6,Đồ ăn
Tao Ngộ - Lẩu Gà Lá É,"79A,B Trần Quang Cơ, P. Phú Thạnh",Quận Tân Phú,TP. HCM,Đang mở cửa,08:30 - 21:00,50.000đ - 200.000đ,7.3,45,7.8,7.6,7.2,7.1,6.6,Đồ ăn
Hẻm Fast Food - Món Hàn Quốc - Bàu Cát,"187 Bàu Cát, P. 14",Quận Tân Bình,TP. HCM,Đang mở cửa,11:00 - 21:30,15.000đ - 45.000đ,6.5,256,6.7,6.6,6.5,6.4,6.1,Đồ ăn
Bánh Ướt Lòng Gà Đà Lạt - Chính Gốc,"137 Đường Số 39, P. Tân Quy",Quận 7,TP. HCM,Đang mở cửa,08:00 - 22:00,15.000đ - 45.000đ,7.5,12,7.8,7.7,7.7,7.5,6.8,Đồ ăn
Cơm Gà Xối Mỡ Vi Anh - Lê Văn Lương,"190 Lê Văn Lương, P. Tân Hưng",Quận 7,TP. HCM,Đang mở cửa,10:00 - 23:00,30.000đ - 30.000đ,7.6,22,7.8,7.8,7.6,7.6,7.4,Đồ ăn
Bột - Healthy Food - Shop Online,"87/53A Lê Văn Duyệt, P. 3",Quận Bình Thạnh,TP. HCM,Đang mở cửa,08:30 - 21:00,35.000đ - 65.000đ,7.4,80,7.6,7.5,7.5,7.3,7.2,Đồ ăn
Nhí Quán - Cơm Gà,"220/22 Nguyễn Trọng Tuyển, P. 8",Quận Phú Nhuận,TP. HCM,Đang mở cửa,10:00 - 22:00,10.000đ - 250.000đ,7.4,1,8.0,8.0,7.0,7.0,7.0,Đồ ăn
Há Cảo Kiều Ký - Lão Tử,"43 Lão Tử, P. 14",Quận 5,TP. HCM,Đang mở cửa,07:00 - 18:00,5.000đ - 10.000đ,7.4,38,8.0,7.7,7.5,7.1,6.8,Đồ ăn
"3 Râu - Gà Rán, Pizza & Trà Sữa - Xô Viết Nghệ Tĩnh","551 Xô Viết Nghệ Tĩnh, P. 26",Quận Bình Thạnh,TP. HCM,Đang mở cửa,10:00 - 22:00,20.000đ - 35.000đ,7.4,64,7.8,7.6,7.4,7.3,7.2,Đồ ăn
Bún Thịt Nướng Quán 339,"339/7 Tô Hiến Thành, P. 13",Quận 10,TP. HCM,Đang mở cửa,07:00 - 22:00,20.000đ - 25.000đ,7.6,56,7.8,7.6,7.5,7.5,7.3,Đồ ăn
Con Gà Nướng - Thành Thái,"152/7 Thành Thái, P. 12",Quận 10,TP. HCM,Đang mở cửa,09:00 - 22:00,25.000đ - 150.000đ,6.7,368,7.1,6.8,6.7,6.6,6.6,Đồ ăn
Mì Ốc Hến Dì Lan - Nguyễn Trường Tộ,"20/23 Nguyễn Trường Tộ, P. 12",Quận 4,TP. HCM,Đang mở cửa,07:00 - 19:00,20.000đ - 25.000đ,6.5,241,7.0,6.7,6.5,6.4,6.1,Đồ ăn
Cô Năm - Bánh Tráng Trộn & Sinh Tố - Lê Thị Hồng,"45 Lê Thị Hồng, P. 7",Quận Gò Vấp,TP. HCM,Đang mở cửa,06:00 - 19:00,15.000đ - 15.000đ,7.3,21,8.1,7.7,7.4,7.1,6.5,Đồ ăn
Bánh Cuốn Tây Sơn - Phạm Văn Đồng,"132 Phạm Văn Đồng, P. 3",Quận Gò Vấp,TP. HCM,Đang mở cửa,07:00 - 22:30,25.000đ - 150.000đ,6.5,86,6.7,6.7,6.5,6.4,6.3,Đồ ăn
"Fruit Crush - Trái Cây Tươi, Bánh Tráng & Ăn Vặt",93/4 Đường 100 Bình Thới,Quận 11,TP. HCM,Đang mở cửa,10:00 - 21:00,20.000đ - 50.000đ,8.5,23,8.9,8.8,8.7,8.1,8.0,Đồ ăn
Bánh Mì PewPew - Út Tịch,"66 Út Tịch, P. 4",Quận Tân Bình,TP. HCM,Đang mở cửa,06:00 - 23:00,20.000đ - 30.000đ,6.7,800,6.7,6.7,6.7,6.7,6.5,Đồ ăn
Mì Ý Double B - Tô Hiến Thành,"266/70 Tô Hiến Thành, P. 15",Quận 10,TP. HCM,Đang mở cửa,08:00 - 22:00,17.000đ - 75.000đ,7.2,87,7.3,7.3,7.2,7.0,6.9,Đồ ăn
Bánh Tráng Út Bình,"449A Phạm Văn Chí, P. 7",Quận 6,TP. HCM,Đang mở cửa,10:00 - 18:00,3.000đ - 250.000đ,7.4,1,8.0,8.0,7.0,7.0,7.0,Đồ ăn
Xôi Chiên - Hẻm 50 Phùng Văn Cung,"50/22/4 Phùng Văn Cung, P. 7",Quận Phú Nhuận,TP. HCM,Đang mở cửa,11:00 - 19:00,5.000đ - 10.000đ,7.4,23,7.8,7.7,7.5,7.0,7.0,Đồ ăn
Burger House - Cơm Mì Mã Lai,"212 Nguyễn Xí, P. 26",Quận Bình Thạnh,TP. HCM,Đang mở cửa,08:00 - 17:00,35.000đ - 55.000đ,7.8,16,8.4,7.9,7.8,7.7,7.3,Đồ ăn
Chân Gà Lắc Lư Emart - Shop Online,"20/17 Phạm Huy Thông, P. 7",Quận Gò Vấp,TP. HCM,Đang mở cửa,10:15 - 23:00,25.000đ - 99.000đ,7.2,8,7.6,7.5,7.1,7.0,6.6,Đồ ăn
Vĩnh Tâm - Cơm Xá Xíu,649 Trần Xuân Soạn ,Quận 7,TP. HCM,Đang mở cửa,10:00 - 22:00,30.000đ - 38.000đ,7.6,17,8.2,7.7,7.5,7.3,7.2,Đồ ăn
Coco Summer - Trái Cây Nhanh - Trường Sa,"816/12 Trường Sa, P. 14",Quận 3,TP. HCM,Đang mở cửa,07:30 - 22:00,10.000đ - 180.000đ,7.6,167,7.8,7.7,7.5,7.4,7.4,Đồ ăn
Bento Delichi - Cơm Gà Xối Mắm Tỏi & Xối Mỡ - Quận 1,"18Bis/3B Nguyễn Thị Minh Khai, P. Đa Kao",Quận 1,TP. HCM,Đang mở cửa,10:00 - 22:00,40.000đ - 50.000đ,7.3,48,7.9,7.4,7.3,7.2,6.8,Đồ ăn
Cô Nga - Bún Thịt Nướng & Gỏi Cuốn,"TK18/10 Nguyễn Cảnh Chân, P. Cầu Kho",Quận 1,TP. HCM,Đang mở cửa,06:30 - 14:30,7.000đ - 30.000đ,7.1,19,7.5,7.4,7.3,7.0,6.5,Đồ ăn
Tiệm Bánh Ngũ Phúc,"103 Gò Công, P. 13",Quận 5,TP. HCM,Đang mở cửa,06:30 - 21:00,15.000đ - 300.000đ,7.9,14,8.2,8.1,8.0,7.8,7.5,Đồ ăn
Nini Snacks Delivery,"765/75 Xô Viết Nghệ Tĩnh, P. 26",Quận Bình Thạnh,TP. HCM,,,12.000đ - 230.000đ,5.7,3,7.0,7.0,6.0,4.3,4.0,Đồ ăn
Bún Đậu Mắm Tôm A Chảnh - Bàu Cát,"39 Bàu Cát, P. 14",Quận Tân Bình,TP. HCM,Đang mở cửa,10:00 - 22:00,25.000đ - 57.000đ,6.9,94,7.2,6.9,6.8,6.8,6.8,Đồ ăn
Cô Thanh - Chè Sầu Kem Bơ - Nguyễn Văn Thương,"152/2A Nguyễn Văn Thương, P. 25",Quận Bình Thạnh,TP. HCM,Đang mở cửa,09:00 - 22:00,20.000đ - 80.000đ,8.5,18,8.8,8.7,8.4,8.3,8.1,Đồ ăn
Bánh Canh Cua 14 - Trần Bình Trọng,"221 Trần Bình Trọng, P. 3",Quận 5,TP. HCM,Đang mở cửa,07:30 - 23:59,40.000đ - 60.000đ,7.0,279,7.3,7.3,7.0,6.9,6.7,Đồ ăn
Bún Bò Huế Đông Phong - Hậu Giang,"251 Hậu Giang, P. 5",Quận 6,TP. HCM,Đang mở cửa,06:30 - 21:30,30.000đ - 40.000đ,7.1,21,7.5,7.4,7.1,6.8,6.5,Đồ ăn
Tràng An - Phở Gà & Cháo Lòng,"182 Phan Xích Long, P. 7",Quận Phú Nhuận,TP. HCM,Đang mở cửa,06:30 - 18:00,30.000đ - 35.000đ,7.4,29,8.0,7.6,7.5,7.4,6.8,Đồ ăn
Cơm - Mì Gà Da Giòn,"310 Bà Hạt, P. 9",Quận 10,TP. HCM,Đang mở cửa,09:00 - 17:00,35.000đ - 35.000đ,8.0,19,8.4,8.2,8.2,8.2,7.2,Đồ ăn
Bún Chả Cá - Trần Não,"58 Trần Não, P. Bình An",Tp. Thủ Đức,TP. HCM,Đang mở cửa,09:00 - 21:00,25.000đ - 25.000đ,6.2,15,7.0,6.9,6.4,5.5,5.3,Đồ ăn
Long Ký - Cơm Gà Da Rất Giòn,"98 Chợ Lớn, P. 11",Quận 6,TP. HCM,Đang mở cửa,09:00 - 18:00,35.000đ - 39.000đ,8.0,29,8.3,8.2,8.2,7.8,7.7,Đồ ăn
Quán Của Lâm - Food & Drink,"341/19/129 Khuông Việt, P. Phú Trung",Quận Tân Phú,TP. HCM,Đang mở cửa,00:01 - 02:00 | 09:00 - 23:59,10.000đ - 40.000đ,6.8,14,7.5,6.9,6.9,6.5,6.2,Đồ ăn
Gà Cơ Bắp - Chuyên Các Món Gà,"171B Trần Văn Đang, P. 11",Quận 3,TP. HCM,Đang mở cửa,08:00 - 23:00,28.000đ - 78.000đ,7.8,754,8.2,8.1,8.0,7.4,7.2,Đồ ăn
Tiến Hải Quán - Bún Đậu Mắm Tôm Hà Nội,"409 Nguyễn Tri Phương, P. 5",Quận 10,TP. HCM,Đang mở cửa,10:00 - 21:00,20.000đ - 55.000đ,7.0,458,7.4,7.4,7.2,6.7,6.1,Đồ ăn
Bento Delichi - Cơm Gà Xối Mắm Tỏi & Xối Mỡ - Quận Phú Nhuận,"166/12L Thích Quảng Đức, P. 4",Quận Phú Nhuận,TP. HCM,Đang mở cửa,09:30 - 21:00,40.000đ - 50.000đ,6.9,9,8.0,7.4,6.6,6.4,6.2,Đồ ăn
Phúc Ký 107 - Cơm Gà Xối Mỡ,"107/6 Đường Số 11, P. 11",Quận Gò Vấp,TP. HCM,Đang mở cửa,06:30 - 22:00,25.000đ - 50.000đ,7.3,5,7.8,7.6,7.6,7.0,6.6,Đồ ăn
Bún Thịt Nướng Kiều Bảo - Tô Hiến Thành,339/12 Tô Hiến Thành,Quận 10,TP. HCM,Đang mở cửa,11:00 - 20:30,15.000đ - 20.000đ,7.1,179,7.8,7.4,7.1,6.6,6.5,Đồ ăn
Há Cảo Ngọc Lan - Vĩnh Viễn,"500 Vĩnh Viễn, P. 8",Quận 10,TP. HCM,Đang mở cửa,08:30 - 23:00,20.000đ - 50.000đ,7.1,144,7.6,7.6,7.1,7.0,6.1,Đồ ăn
Mì Quảng Thu Bồn - Nguyễn Trọng Tuyển,"182/1 Nguyễn Trọng Tuyển, P. 8",Quận Phú Nhuận,TP. HCM,Đang mở cửa,07:00 - 22:00,30.000đ - 75.000đ,6.9,23,7.2,7.2,7.0,6.5,6.4,Đồ ăn
Dĩnh Râu - Bánh Cuốn & Bánh Ướt,63B Phạm Văn Hai,Quận Tân Bình,TP. HCM,Đang mở cửa,07:00 - 22:00,15.000đ - 18.000đ,7.1,47,7.6,7.0,7.0,7.0,6.7,Đồ ăn
Mỳ Ý 4B,"4B Đường Số 15, P. Tân Kiểng",Quận 7,TP. HCM,Đang mở cửa,08:00 - 14:00 | 16:00 - 21:00,15.000đ - 30.000đ,7.3,18,7.5,7.3,7.2,7.2,7.1,Đồ ăn
Quán Chay Thanh Ái,"264 Bà Hạt, P. 9",Quận 10,TP. HCM,Đang mở cửa,07:00 - 20:45,30.000đ - 55.000đ,6.8,17,7.2,7.0,6.7,6.7,6.7,Đồ ăn
"Big Burger - Hamburger, Beefsteak & Bakery - Trần Hưng Đạo",131 Trần Hưng Đạo,Quận 5,TP. HCM,Đang mở cửa,07:00 - 23:00,10.000đ - 110.000đ,7.0,43,7.3,7.2,7.1,7.0,6.6,Đồ ăn
Bánh Mì PewPew - Đường D5,"84 Đường D5, P. 25",Quận Bình Thạnh,TP. HCM,Đang mở cửa,06:00 - 21:30,20.000đ - 30.000đ,6.0,236,6.2,6.0,6.0,5.9,5.7,Đồ ăn
Sandwich - Hamburger Chía Núi - Minh Phụng,"439 Minh Phụng, P. 10",Quận 11,TP. HCM,,15:00 - 21:00,30.000đ - 120.000đ,6.8,5,7.2,7.2,6.8,6.6,6.0,Đồ ăn
Bánh Cuốn Ba Miền - Phan Xích Long,"188 Phan Xích Long, P. 7",Quận Phú Nhuận,TP. HCM,Đang mở cửa,00:01 - 23:59,33.000đ - 45.000đ,6.0,17,6.6,6.2,5.9,5.7,5.4,Đồ ăn
Green & Young - Healthy Food Store,"18/47 Trần Quang Diệu, P. 14",Quận 3,TP. HCM,Đang mở cửa,09:30 - 18:30,32.000đ - 35.000đ,8.3,31,8.9,8.7,8.4,7.9,7.9,Đồ ăn
Bếp Xanh - Cơm Gà & Bánh Hỏi - Nguyễn Văn Trỗi,"164A Nguyễn Văn Trỗi, P. 8",Quận Phú Nhuận,TP. HCM,Đang mở cửa,08:00 - 22:00,40.000đ - 50.000đ,5.7,52,6.1,5.9,5.6,5.6,5.5,Đồ ăn
Phúc Hải - Bánh Mì & Bánh Hỏi Heo Quay,"3 Nguyễn Thượng Hiền, P. 5",Quận 3,TP. HCM,Đang mở cửa,07:00 - 21:00,15.000đ - 230.000đ,6.9,37,7.5,7.3,6.8,6.6,6.4,Đồ ăn
Ăn Vặt Dasala - Món Ngon Độc Lạ - Lê Văn Thọ,"482 Lê Văn Thọ, P. 16",Quận Gò Vấp,TP. HCM,Đang mở cửa,11:00 - 22:00,35.000đ - 35.000đ,7.1,15,7.5,7.3,7.1,7.0,6.8,Đồ ăn
Bà Bắc - Bánh Tráng Cuốn Trộn,40 Đường Số 11,Quận 4,TP. HCM,Đang mở cửa,10:00 - 22:00,10.000đ - 33.000đ,6.7,404,7.2,7.0,6.6,6.4,6.3,Đồ ăn
Xôi Xéo Hà Nội,"63/38 Nguyễn Biểu, P. 1",Quận 5,TP. HCM,Đang mở cửa,08:00 - 20:00,10.000đ - 35.000đ,7.1,27,7.8,7.4,7.3,6.9,6.3,Đồ ăn
Gà rán và Mì Ý - Jollibee - Trường Chinh,360 Trường Chinh,Quận Tân Bình,TP. HCM,Đang mở cửa,09:00 - 21:30 | 09:00 - 21:30,20.000đ - 120.000đ,7.2,40,7.4,7.3,7.2,7.1,6.9,Đồ ăn
Thiên - Bread n’ More,"106 Tam Hà, P. Tam Phú",Tp. Thủ Đức,TP. HCM,Đang mở cửa,07:00 - 22:00,15.000đ - 35.000đ,7.5,23,7.9,7.6,7.4,7.4,7.3,Đồ ăn
Mầm - Healthyfood - Vĩnh Khánh,"122 Vĩnh Khánh, P. 10 (Đối Diện Quán Bún Đậu Mạc Văn Khoa)",Quận 4,TP. HCM,Đang mở cửa,08:00 - 14:00 | 16:30 - 20:30,19.000đ - 59.000đ,7.1,58,7.5,7.4,7.2,6.9,6.6,Đồ ăn
Mr Béo - Cháo Hàu & Bột Chiên Hải Sản,500 Hậu Giang,Quận 6,TP. HCM,Đang mở cửa,11:00 - 23:00,7.000đ - 30.000đ,6.7,20,7.0,6.8,6.8,6.5,6.4,Đồ ăn
Tré Trộn Bà Đào - Rạch Bùng Binh,"85 Rạch Bùng Binh, P. 9",Quận 3,TP. HCM,Đang mở cửa,09:00 - 22:00,7.000đ - 150.000đ,6.9,14,7.7,6.9,6.7,6.5,6.4,Đồ ăn
SaSin - Mì Cay 7 Cấp Độ Hàn Quốc - Lê Văn Thọ,"351 Lê Văn Thọ, P. 9",Quận Gò Vấp,TP. HCM,Đang mở cửa,09:00 - 22:00,30.000đ - 50.000đ,6.7,43,7.0,6.8,6.7,6.6,6.3,Đồ ăn
Cơm Tấm 31 - Đồng Đen,"31 Đồng Đen, P. 12",Quận Tân Bình,TP. HCM,Đang mở cửa,08:30 - 19:30,20.000đ - 35.000đ,4.2,6,4.7,4.5,4.2,4.2,3.7,Đồ ăn
Hạnh Dung - Ẩm Thực Chay Mặn,"111 - 113  Âu Cơ, P. 14",Quận 11,TP. HCM,Đang mở cửa,06:00 - 22:00,25.000đ - 55.000đ,7.4,77,7.8,7.6,7.5,7.3,6.9,Đồ ăn
Udon - Quán Mì Nhật,"170 Bàu Cát, P. 14",Quận Tân Bình,TP. HCM,Đang mở cửa,09:00 - 22:30,10.000đ - 50.000đ,7.4,77,7.9,7.8,7.8,7.0,6.6,Đồ ăn
Gà rán và Mì Ý - Jollibee - Pasteur,"194D Pasteur,  P. 6",Quận 3,TP. HCM,Đang mở cửa,09:00 - 22:00,15.000đ - 44.000đ,6.8,113,7.2,7.0,6.8,6.6,6.6,Đồ ăn
Cơm Mẹ Nấu - Minh Phụng,"445A Minh Phụng, P. 10",Quận 11,TP. HCM,Đang mở cửa,10:30 - 21:30,31.000đ - 60.000đ,7.3,76,7.5,7.5,7.4,7.2,7.0,Đồ ăn
Nem Nướng D'ran Since 1968 - Healthy & Fresh - Nguyên Hồng,"112 Nguyên Hồng, P. 11",Quận Bình Thạnh,TP. HCM,Đang mở cửa,10:00 - 21:30,40.000đ - 70.000đ,8.0,83,8.3,8.1,8.0,7.9,7.7,Đồ ăn
Mỳ Ý Spaghetti To Go - Trần Hưng Đạo,"393/9 Trần Hưng Đạo, P. Cầu Kho",Quận 1,TP. HCM,Đang mở cửa,07:30 - 14:00 | 16:00 - 21:30,25.000đ - 95.000đ,7.0,456,7.7,7.5,6.9,6.7,6.2,Đồ ăn
Thân Thiệu Nhiên - Vịt Quay Sốt Tiêu Xanh Hong Kong,"105A Ngô Quyền, P. 11",Quận 5,TP. HCM,Đang mở cửa,06:00 - 21:30,3.000đ - 290.000đ,7.8,76,8.0,8.0,7.9,7.7,7.3,Đồ ăn
Cơm Gà Hải Nam - Nguyễn Tri Phương,"379 Nguyễn Tri Phương, P. 5",Quận 10,TP. HCM,Đang mở cửa,10:00 - 23:00,50.000đ - 110.000đ,6.4,217,6.9,6.7,6.2,6.1,6.1,Đồ ăn
Chị Thủy - Canh Bún & Bún Riêu Bạch Tuộc,"25 Lô F Nguyễn Thị Tần, Chợ Rạch Ông, P. 2",Quận 8,TP. HCM,Đang mở cửa,07:00 - 17:00,30.000đ - 40.000đ,7.0,23,7.5,7.4,7.4,6.5,6.0,Đồ ăn
Chị 3 - Bún Nước - Tô Hiến Thành,"495/2 Tô Hiến Thành, P. 14",Quận 10,TP. HCM,Đang mở cửa,09:00 - 21:30,30.000đ - 45.000đ,6.8,346,7.0,7.0,6.8,6.7,6.4,Đồ ăn
Cháo Dinh Dưỡng Việt Soup - Hòa Hảo,"007 Lô F Chung Cư Ngô Gia Tự, Hòa Hảo, P. 2",Quận 10,TP. HCM,Đang mở cửa,06:00 - 19:30,12.000đ - 25.000đ,6.5,9,6.8,6.7,6.6,6.4,6.0,Đồ ăn
"3 Râu - Gà Rán, Pizza & Trà Sữa - Bùi Minh Trực","283 Bùi Minh Trực, P. 6",Quận 8,TP. HCM,Đang mở cửa,09:00 - 23:59,12.000đ - 120.000đ,6.9,8,7.0,7.0,6.9,6.8,6.8,Đồ ăn
Gà rán và Mì Ý - Jollibee - Âu Cơ,"650 Âu Cơ, P. 10",Quận Tân Bình,TP. HCM,Đang mở cửa,08:00 - 22:00,40.000đ - 100.000đ,6.7,24,7.0,6.8,6.6,6.5,6.4,Đồ ăn
Ngọc Trâm - Nem Nướng & Bún Cá Nha Trang,"468 Lê Quang Định, P. 11",Quận Bình Thạnh,TP. HCM,Đang mở cửa,07:00 - 22:00,25.000đ - 55.000đ,6.7,21,7.4,6.8,6.6,6.5,6.1,Đồ ăn
