Name,Street,District,Region,Status,Working hour,Price range,Rate Average,Review count,Rate Quality,Rate Price,Rate Location,Rate Service,Rate Space,Category
Cháo Sườn Bé Hiền - Súp Cua & Bún Bò,"201/83 Nguyễn Xí, P. 26",Quận Bình Thạnh,TP. HCM,Đang mở cửa,07:00 - 23:59,5.000đ - 35.000đ,8.1,15,8.8,8.5,8.3,8.1,7.0,Đồ ăn
Gà Rán Popeyes - Nguyễn Văn Luông,"500C Nguyễn Văn Luông, P. 12",Quận 6,TP. HCM,,10:00 - 21:00,30.000đ - 150.000đ,6.4,50,6.6,6.5,6.5,6.5,5.9,Đồ ăn
Súp Cua Mộc - Lê Văn Lương,"504 Lê Văn Lương, P. Tân Phong",Quận 7,TP. HCM,Đang mở cửa,06:00 - 22:30,15.000đ - 40.000đ,7.2,17,7.5,7.4,7.4,7.0,6.9,Đồ ăn
Súp Cua Mộc - Hòa Hưng,"32 Hòa Hưng, P. 13",Quận 10,TP. HCM,Đang mở cửa,06:30 - 22:00,17.000đ - 20.000đ,7.3,52,7.5,7.5,7.5,7.4,6.7,Đồ ăn
Cháo Sườn Ngọc Bích - Nguyễn Hồng Đào,"91/14 Nguyễn Hồng Đào, P. 14",Quận Tân Bình,TP. HCM,,06:00 - 20:00,20.000đ - 30.000đ,6.2,4,6.8,6.3,6.3,6.3,5.5,Đồ ăn
Mr Béo - Cháo Hàu & Bột Chiên Hải Sản,500 Hậu Giang,Quận 6,TP. HCM,Đang mở cửa,11:00 - 23:00,7.000đ - 30.000đ,6.7,20,7.0,6.8,6.8,6.5,6.4,Đồ ăn
Mỳ Ý Spaghetti To Go - Trần Hưng Đạo,"393/9 Trần Hưng Đạo, P. Cầu Kho",Quận 1,TP. HCM,,07:30 - 14:00 | 16:00 - 21:30,25.000đ - 95.000đ,7.0,456,7.7,7.5,6.9,6.7,6.2,Đồ ăn
"Súp Cua, Súp Hàu, Óc Heo Vạn Kiếp","61/13 Nguyễn Bỉnh Khiêm, P. 1",Quận Gò Vấp,TP. HCM,Đang mở cửa,17:35 - 23:00,15.000đ - 35.000đ,7.5,34,8.2,8.1,7.6,7.3,6.4,Đồ ăn
Gà Rán Popeyes - Gò Dầu,"33 Gò Dầu, P. Tân Sơn Nhì",Quận Tân Phú,TP. HCM,Đang mở cửa,09:00 - 22:00,50.000đ - 165.000đ,7.6,8,7.9,7.6,7.6,7.5,7.4,Đồ ăn
Bento Delichi - Cơm Gà Xối Mắm Tỏi & Xối Mỡ - Quận Phú Nhuận,"166/12L Thích Quảng Đức, P. 4",Quận Phú Nhuận,TP. HCM,,09:30 - 21:00,40.000đ - 50.000đ,6.9,9,8.0,7.4,6.6,6.4,6.2,Đồ ăn
Cơm Gà Nha Trang,313 Bùi Đình Túy,Quận Bình Thạnh,TP. HCM,,08:00 - 21:00,20.000đ - 40.000đ,6.7,38,7.5,7.3,6.7,6.7,5.6,Đồ ăn
Gà Rán Popeyes - Lê Văn Việt,"372 Lê Văn Việt, P. Tăng Nhơn Phú A",Quận 9,TP. HCM,,10:00 - 21:30,50.000đ - 150.000đ,6.8,14,7.4,7.3,7.1,6.9,5.5,Đồ ăn
Cơm Chiên & Nui Xào Bò - Cống Quỳnh,102/12 Cống Quỳnh,Quận 1,TP. HCM,Đang mở cửa,00:01 - 02:30 | 14:00 - 23:59,15.000đ - 33.000đ,6.3,18,6.8,6.5,6.3,5.9,5.8,Đồ ăn
Út Hương - Cơm & Món Xào,"TK18/1 Nguyễn Cảnh Chân, P. Cầu Kho",Quận 1,TP. HCM,Đang mở cửa,08:00 - 23:59,35.000đ - 220.000đ,6.7,190,7.0,7.0,6.6,6.5,6.4,Đồ ăn
Geylang By Night - Cháo Ếch Singapore & Món Xào,"25 Cô Bắc, P. Cầu Ông Lãnh",Quận 1,TP. HCM,Đang mở cửa,00:01 - 03:00 | 10:00 - 23:59,10.000đ - 100.000đ,6.8,39,7.1,7.0,6.9,6.6,6.6,Đồ ăn
Phở Viên - Nguyễn Trãi,"A65 Nguyễn Trãi, P. Nguyễn Cư Trinh",Quận 1,TP. HCM,,06:00 - 22:30,20.000đ - 90.000đ,9.1,2,10.0,10.0,10.0,10.0,5.5,Đồ ăn
Kim - Cháo Ếch Singapore,"110 Phan Văn Trị , P. 2",Quận 5,TP. HCM,Đang mở cửa,00:01 - 01:00 | 12:00 - 23:59,38.000đ - 60.000đ,7.9,10,8.4,8.1,8.0,7.6,7.3,Đồ ăn
Mì Cay Khuya,"233/18 Nguyễn Trãi, P. Nguyễn Cư Trinh",Quận 1,TP. HCM,Đang mở cửa,00:01 - 00:15 | 14:00 - 23:59,30.000đ - 45.000đ,6.6,155,6.9,6.7,6.6,6.6,6.4,Đồ ăn
Cháo Ếch Việt Sing - Nguyễn Cảnh Chân,"TK21/28 Nguyễn Cảnh Chân, P. Cầu Kho",Quận 1,TP. HCM,Đang mở cửa,09:00 - 00:00,60.000đ - 60.000đ,7.0,11,7.5,7.2,7.1,6.6,6.6,Đồ ăn
"3 Râu - Gà Rán, Pizza & Trà Sữa - Nguyễn Cảnh Chân","TK17/9 Nguyễn Cảnh Chân, P. Cầu Kho",Quận 1,TP. HCM,,09:00 - 23:00,12.000đ - 120.000đ,7.6,1,8.0,8.0,8.0,7.0,7.0,Đồ ăn
Quán 185 - Cháo Trắng & Cơm Bình Dân - Nguyễn Trãi,"197 Nguyễn Trãi, P. Nguyễn Cư Trinh",Quận 1,TP. HCM,Đang mở cửa,00:01 - 23:59,20.000đ - 50.000đ,6.2,9,6.9,6.3,6.2,5.9,5.4,Đồ ăn
Bò Lá Lốt 105,"105 Nguyễn Văn Cừ, P. 2",Quận 5,TP. HCM,Đang mở cửa,00:01 - 01:00 | 16:30 - 23:59,25.000đ - 30.000đ,7.3,7,8.0,7.6,7.3,6.9,6.7,Đồ ăn
Cháo Sườn Chú Chen - Nguyễn Trãi,"281 - 283 Nguyễn Trãi, P. Nguyễn Cư Trinh",Quận 1,TP. HCM,Đang mở cửa,00:01 - 02:00 | 07:10 - 23:59,35.000đ - 79.000đ,7.1,233,7.5,7.3,7.1,7.0,6.5,Đồ ăn
Cơm Tấm Đêm 420,"K50 Hoàng Diệu, P. 6",Quận 4,TP. HCM,Đang mở cửa,00:01 - 04:00 | 16:00 - 23:59,30.000đ - 50.000đ,8.4,14,8.6,8.6,8.5,8.2,8.2,Đồ ăn
Thành Đạt - Hủ Tíu Nam Vang - Cô Bắc,"34 Cô Bắc, P. Cầu Ông Lãnh",Quận 1,TP. HCM,Đang mở cửa,00:01 - 04:30 | 05:30 - 23:59,35.000đ - 50.000đ,6.5,133,7.0,6.9,6.6,6.1,5.8,Đồ ăn
Lẩu Bò Tí Chuột,"1 - 3 Cao Bá Nhạ, P. Nguyễn Cư Trinh",Quận 1,TP. HCM,Đang mở cửa,09:00 - 23:59,35.000đ - 88.000đ,6.8,380,7.0,6.9,6.9,6.5,6.4,Đồ ăn
Quyên - Chè Thập Cẩm & Sâm Bổ Lượng - Nguyễn Cư Trinh,"168/25 Đường Nguyễn Cư Trinh, P. Nguyễn Cư Trinh",Quận 1,TP. HCM,,12:00 - 21:00,20.000đ - 20.000đ,9.6,1,10.0,10.0,10.0,9.0,9.0,Đồ ăn
Burger King - Phạm Ngũ Lão,"275 - 277 Phạm Ngũ Lão, P. Phạm Ngũ Lão",Quận 1,TP. HCM,,10:00 - 22:00,80.000đ - 121.000đ,6.5,50,6.8,6.8,6.5,6.5,6.0,Đồ ăn
Cháo Sườn Cô Giang - Đinh Tiên Hoàng,"14B Đinh Tiên Hoàng, P. Đa Kao",Quận 1,TP. HCM,,07:30 - 22:00,15.000đ - 29.000đ,6.9,48,7.2,7.0,6.9,6.8,6.4,Đồ ăn
McDonald's Ben Thanh,"2-2A Trần Hưng Đạo, P. Bến Thành",Quận 1,TP. HCM,Đang mở cửa,00:01 - 23:59,50.000đ - 200.000đ,7.3,376,7.9,7.6,7.2,7.2,6.5,Đồ ăn
Bánh Cuốn Ba Miền - Phan Xích Long,"188 Phan Xích Long, P. 7",Quận Phú Nhuận,TP. HCM,Đang mở cửa,00:01 - 23:59,33.000đ - 45.000đ,6.0,17,6.6,6.2,5.9,5.7,5.4,Đồ ăn
Quán Của Lâm - Food & Drink,"60 Trịnh Đình Trọng, P. Phú Trung",Quận Tân Phú,TP. HCM,Đang mở cửa,00:01 - 02:00 | 09:00 - 23:59,10.000đ - 40.000đ,6.8,14,7.5,6.9,6.9,6.5,6.2,Đồ ăn
McDonald's Đa Kao,2 - 6 Bis Điện Biên Phủ,Quận 1,TP. HCM,Đang mở cửa,00:01 - 23:59,50.000đ - 200.000đ,7.2,621,7.6,7.6,7.3,7.1,6.5,Đồ ăn
Cơm Tấm Huyền - Đinh Tiên Hoàng,"Hẻm 95 Đinh Tiên Hoàng, P. 3",Quận Bình Thạnh,TP. HCM,Đang mở cửa,00:01 - 04:00 | 16:00 - 23:59,30.000đ - 45.000đ,6.0,68,6.5,6.4,6.1,5.6,5.2,Đồ ăn
Út Hương - Cơm & Món Xào,"TK18/1 Nguyễn Cảnh Chân, P. Cầu Kho",Quận 1,TP. HCM,Đang mở cửa,08:00 - 23:59,35.000đ - 220.000đ,6.7,190,7.0,7.0,6.6,6.5,6.4,Đồ ăn
Cháo Sườn Bé Hiền - Súp Cua & Bún Bò,"201/83 Nguyễn Xí, P. 26",Quận Bình Thạnh,TP. HCM,,07:00 - 23:59,5.000đ - 35.000đ,8.1,15,8.8,8.5,8.3,8.1,7.0,Đồ ăn
